CUDA extension not installed.
Starting ...
Quantizing ...
time 13.00
error 214585.359375
59 self_attn.k_proj
Quantizing ...
time 4.15
error 240931.5
59 self_attn.v_proj
Quantizing ...
time 2.89
error 136894.75
59 self_attn.q_proj
Quantizing ...
time 2.86
error 253011.3125
59 self_attn.o_proj
Quantizing ...
time 3.64
error 5070.22900390625
59 mlp.up_proj
Quantizing ...
time 4.06
error 751038.9375
59 mlp.gate_proj
Quantizing ...
time 2.96
error 880770.125
59 mlp.down_proj
Quantizing ...
time 12.81
error 218656.390625
60 self_attn.k_proj
Quantizing ...
time 4.09
error 245468.46875
60 self_attn.v_proj
Quantizing ...
time 2.84
error 137884.859375
60 self_attn.q_proj
Quantizing ...
time 3.09
error 256901.125
60 self_attn.o_proj
Quantizing ...
time 3.62
error 6878.63671875
60 mlp.up_proj
Quantizing ...
time 4.06
error 772649.5
60 mlp.gate_proj
Quantizing ...
time 3.00
error 898391.5
60 mlp.down_proj
Quantizing ...
time 12.79
error 225456.03125
61 self_attn.k_proj
Quantizing ...
time 4.09
error 252473.40625
61 self_attn.v_proj
Quantizing ...
time 2.89
error 154683.53125
61 self_attn.q_proj
Quantizing ...
time 2.84
error 284952.78125
61 self_attn.o_proj
Quantizing ...
time 3.62
error 6166.49609375
61 mlp.up_proj
Quantizing ...
time 4.10
error 791069.875
61 mlp.gate_proj
Quantizing ...
time 3.05
error 919214.4375
61 mlp.down_proj
Quantizing ...
time 12.86
error 233030.09375
62 self_attn.k_proj
Quantizing ...
time 4.10
error 252394.25
62 self_attn.v_proj
Quantizing ...
time 3.04
error 142937.515625
62 self_attn.q_proj
Quantizing ...
time 2.90
error 258383.0
62 self_attn.o_proj
Quantizing ...
time 3.67
error 10417.255859375
62 mlp.up_proj
Quantizing ...
time 4.01
error 808281.875
62 mlp.gate_proj
Quantizing ...
time 2.96
error 932214.3125
62 mlp.down_proj
Quantizing ...
time 12.92
error 243688.046875
63 self_attn.k_proj
Quantizing ...
time 4.09
error 229689.0625
63 self_attn.v_proj
Quantizing ...
time 2.88
error 134014.359375
63 self_attn.q_proj
Quantizing ...
time 2.88
error 257292.375
63 self_attn.o_proj
Quantizing ...
time 3.69
error 4434.6669921875
63 mlp.up_proj
Quantizing ...
time 4.02
error 827045.0
63 mlp.gate_proj
Quantizing ...
time 3.09
error 945943.375
63 mlp.down_proj
Quantizing ...
time 12.85
error 247731.921875
64 self_attn.k_proj
Quantizing ...
time 4.12
error 271436.53125
64 self_attn.v_proj
Quantizing ...
time 2.87
error 173878.34375
64 self_attn.q_proj
Quantizing ...
time 2.84
error 325267.8125
64 self_attn.o_proj
Quantizing ...
time 3.64
error 8975.111328125
64 mlp.up_proj
Quantizing ...
time 4.03
error 853642.625
64 mlp.gate_proj
Quantizing ...
time 3.14
error 970381.25
64 mlp.down_proj
Quantizing ...
time 12.86
error 264153.4375
65 self_attn.k_proj
Quantizing ...
time 4.12
error 206954.5
65 self_attn.v_proj
Quantizing ...
time 3.05
error 106875.03125
65 self_attn.q_proj
Quantizing ...
time 2.84
error 221721.34375
65 self_attn.o_proj
Quantizing ...
time 3.93
error 6564.2666015625
65 mlp.up_proj
Quantizing ...
time 4.11
error 864226.6875
65 mlp.gate_proj
Quantizing ...
time 3.06
error 969183.6875
65 mlp.down_proj
Quantizing ...
time 12.80
error 268188.15625
66 self_attn.k_proj
Quantizing ...
time 4.11
error 242901.34375
66 self_attn.v_proj
Quantizing ...
time 3.00
error 149609.953125
66 self_attn.q_proj
Quantizing ...
time 2.86
error 259623.90625
66 self_attn.o_proj
Quantizing ...
time 3.66
error 10610.92578125
66 mlp.up_proj
Quantizing ...
time 4.01
error 889848.0
66 mlp.gate_proj
Quantizing ...
time 2.98
error 995617.5625
66 mlp.down_proj
Quantizing ...
time 12.88
error 298747.5625
67 self_attn.k_proj
Quantizing ...
time 4.09
error 303527.6875
67 self_attn.v_proj
Quantizing ...
time 2.86
error 232498.796875
67 self_attn.q_proj
Quantizing ...
time 2.84
error 330998.6875
67 self_attn.o_proj
Quantizing ...
time 3.63
error 16314.412109375
67 mlp.up_proj
Quantizing ...
time 4.02
error 904128.5
67 mlp.gate_proj
Quantizing ...
time 3.00
error 1007503.625
67 mlp.down_proj
Quantizing ...
time 12.89
error 297463.15625
68 self_attn.k_proj
Quantizing ...
time 4.29
error 292995.71875
68 self_attn.v_proj
Quantizing ...
time 3.07
error 198320.640625
68 self_attn.q_proj
Quantizing ...
time 2.95
error 332474.71875
68 self_attn.o_proj
Quantizing ...
time 3.78
error 13828.7763671875
68 mlp.up_proj
Quantizing ...
time 4.19
error 925929.0
68 mlp.gate_proj
Quantizing ...
time 3.15
error 1026435.25
68 mlp.down_proj
Quantizing ...
time 13.27
error 316614.6875
69 self_attn.k_proj
Quantizing ...
time 4.28
error 332343.25
69 self_attn.v_proj
Quantizing ...
time 2.94
error 241710.4375
69 self_attn.q_proj
Quantizing ...
time 3.03
error 361960.96875
69 self_attn.o_proj
Quantizing ...
time 3.80
error 25746.65234375
69 mlp.up_proj
Quantizing ...
time 4.20
error 930449.5625
69 mlp.gate_proj
Quantizing ...
time 3.03
error 1022778.625
69 mlp.down_proj
Quantizing ...
time 13.27
error 322433.3125
70 self_attn.k_proj
Quantizing ...
time 4.17
error 273691.1875
70 self_attn.v_proj
Quantizing ...
time 2.97
error 173574.0
70 self_attn.q_proj
Quantizing ...
time 2.85
error 299136.875
70 self_attn.o_proj
Quantizing ...
time 3.72
error 9238.5322265625
70 mlp.up_proj
Quantizing ...
time 4.13
error 954630.0625
70 mlp.gate_proj
Quantizing ...
time 2.97
error 1044135.125
70 mlp.down_proj
Quantizing ...
time 12.86
error 334437.875
71 self_attn.k_proj
Quantizing ...
time 4.26
error 288604.4375
71 self_attn.v_proj
Quantizing ...
time 2.97
error 193226.328125
71 self_attn.q_proj
Quantizing ...
time 3.00
error 323947.1875
71 self_attn.o_proj
Quantizing ...
time 3.81
error 15517.978515625
71 mlp.up_proj
Quantizing ...
time 4.15
error 964194.0
71 mlp.gate_proj
Quantizing ...
time 3.07
error 1048234.875
71 mlp.down_proj
Quantizing ...
time 13.20
error 343363.875
72 self_attn.k_proj
Quantizing ...
time 4.24
error 301076.375
72 self_attn.v_proj
Quantizing ...
time 3.01
error 238534.234375
72 self_attn.q_proj
Quantizing ...
time 2.95
error 340105.9375
72 self_attn.o_proj
Quantizing ...
time 3.77
error 30014.15625
72 mlp.up_proj
Quantizing ...
time 4.17
error 974264.375
72 mlp.gate_proj
Quantizing ...
time 3.04
error 1054196.75
72 mlp.down_proj
Quantizing ...
time 13.31
error 355714.4375
73 self_attn.k_proj
Quantizing ...
time 4.24
error 258636.703125
73 self_attn.v_proj
Quantizing ...
time 3.03
error 181124.1875
73 self_attn.q_proj
Quantizing ...
time 3.03
error 268757.5
73 self_attn.o_proj
Quantizing ...
time 3.76
error 17970.9296875
73 mlp.up_proj
Quantizing ...
time 4.19
error 1000130.875
73 mlp.gate_proj
Quantizing ...
time 3.14
error 1078464.875
73 mlp.down_proj
Quantizing ...
time 13.30
error 421941.5625
74 self_attn.k_proj
Quantizing ...
time 4.30
error 304329.0625
74 self_attn.v_proj
Quantizing ...
time 3.05
error 255027.28125
74 self_attn.q_proj
Quantizing ...
time 3.01
error 359682.125
74 self_attn.o_proj
Quantizing ...
time 3.80
error 23854.4453125
74 mlp.up_proj
Quantizing ...
time 4.19
error 1006263.125
74 mlp.gate_proj
Quantizing ...
time 3.10
error 1096634.875
74 mlp.down_proj
Quantizing ...
time 13.24
error 453387.0
75 self_attn.k_proj
Quantizing ...
time 4.27
error 310414.90625
75 self_attn.v_proj
Quantizing ...
time 3.00
error 270500.03125
75 self_attn.q_proj
Quantizing ...
time 2.97
error 353664.15625
75 self_attn.o_proj
Quantizing ...
time 3.77
error 49678.3828125
75 mlp.up_proj
Quantizing ...
time 4.16
error 1013601.875
75 mlp.gate_proj
Quantizing ...
time 3.08
error 1097805.375
75 mlp.down_proj
Quantizing ...
time 13.27
error 509323.6875
76 self_attn.k_proj
Quantizing ...
time 4.26
error 299299.21875
76 self_attn.v_proj
Quantizing ...
time 2.94
error 229949.90625
76 self_attn.q_proj
Quantizing ...
time 3.02
error 317948.375
76 self_attn.o_proj
Quantizing ...
time 3.79
error 30742.814453125
76 mlp.up_proj
Quantizing ...
time 4.20
error 1018969.875
76 mlp.gate_proj
Quantizing ...
time 3.12
error 1101447.0
76 mlp.down_proj
Quantizing ...
time 13.26
error 632811.25
77 self_attn.k_proj
Quantizing ...
time 4.24
error 261726.25
77 self_attn.v_proj
Quantizing ...
time 3.00
error 191547.625
77 self_attn.q_proj
Quantizing ...
time 2.96
error 292141.5625
77 self_attn.o_proj
Quantizing ...
time 3.79
error 35302.47265625
77 mlp.up_proj
Quantizing ...
time 4.19
error 921498.5625
77 mlp.gate_proj
Quantizing ...
time 3.09
error 985573.0625
77 mlp.down_proj
Quantizing ...
time 13.35
error 730436.0625
78 self_attn.k_proj
Quantizing ...
time 4.24
error 270114.53125
78 self_attn.v_proj
Quantizing ...
time 2.92
error 192145.5625
78 self_attn.q_proj
Quantizing ...
time 3.01
error 301963.8125
78 self_attn.o_proj
Quantizing ...
time 3.80
error 34614.234375
78 mlp.up_proj
Quantizing ...
time 4.15
error 784223.5
78 mlp.gate_proj
Quantizing ...
time 3.14
error 846520.875
78 mlp.down_proj
Quantizing ...
time 13.24
error 955921.125
79 self_attn.k_proj
Quantizing ...
time 4.26
error 122969.984375
79 self_attn.v_proj
Quantizing ...
time 3.06
error 52239.19140625
79 self_attn.q_proj
Quantizing ...
time 3.01
error 145780.625
79 self_attn.o_proj
Quantizing ...
time 3.81
error 6227.58984375
79 mlp.up_proj
Quantizing ...
time 4.21
error 509572.5625
79 mlp.gate_proj
Quantizing ...
time 3.04
error 529578.625
79 mlp.down_proj
Quantizing ...
time 13.24
error 893785.0
6314.896073579788
wikitext2
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
4.999111652374268
ptb-new
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
41.67360305786133
c4-new
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
7.075481414794922
